,logFC,t,P.Value,adj.P.Val,B,sig
CYP27B1,-2.20108754231118,-12.8871719158755,1.21087780831018e-23,1.1571148336212e-19,43.0242350128349,Down
FOSB,-2.47485622805348,-12.5324493435251,7.52351876851462e-23,3.32882470105841e-19,41.2531923383274,Down
LPAR6,1.1059525705629,12.4688474626609,1.04504752021507e-22,3.32882470105841e-19,40.9344438934533,Up
SLC19A2,-1.08746649965116,-12.367743677818,1.76312043545291e-22,4.212094720297e-19,40.4270344486397,Down
NR4A2,-1.20545390379835,-12.2006212389616,4.19256354961617e-22,8.01282745602642e-19,39.5864350179537,Down
HLX,1.38367786266863,12.0106154952313,1.1252152825955e-21,1.65869338244693e-18,38.6280580340243,Up
CALHM2,0.875235825060399,11.9958548907693,1.21503282514948e-21,1.65869338244693e-18,38.5534924856312,Not
NEDD9,-0.66293013701865,-11.9160988175273,1.84038107588303e-21,2.19833519514228e-18,38.1503181601887,Not
AVPI1,-0.805142529245671,-11.4923001969087,1.68209155511703e-20,1.78600743341092e-17,36.0008005830292,Not
SOX17,0.969838947320613,10.2649453579627,1.06297169039537e-17,1.01577574734181e-14,29.7285235696942,Not
GBP2,1.07252886084548,10.1196575616766,2.28436933282449e-17,1.98449394040644e-14,28.9838954905297,Up
SERPINH1,0.8238238523571,10.0774204131706,2.85329102253558e-17,2.27217075094584e-14,28.7674255224555,Not
SLCO3A1,0.831545695861892,9.99778044705726,4.33942054724756e-17,3.18980790380751e-14,28.3592893075718,Not
ZNF331,-0.853292801518358,-9.92766233046338,6.27651115071695e-17,4.28416718258937e-14,27.9999980113247,Not
ARHGEF6,0.745946940956808,9.78608498848384,1.32203170886473e-16,8.42222333994089e-14,27.2747600940108,Not
TIPARP,-0.809669906905587,-9.75421176402185,1.56332774574852e-16,8.94001770969403e-14,27.1115403691771,Not
PER1,-0.736374251804682,-9.75094523236663,1.59041754986185e-16,8.94001770969403e-14,27.0948140620129,Not
FXYD5,0.811728701018215,9.62327163422654,3.11192464469107e-16,1.62204774359819e-13,26.4412744135604,Not
CISH,-0.953089669966776,-9.61647527927411,3.22508446299346e-16,1.62204774359819e-13,26.4064979766139,Not
AHSG,-0.352280375077604,-9.53404348238126,4.97310530684534e-16,2.3761497156107e-13,25.9848210095788,Not
HCLS1,1.12555470533434,9.48165343724456,6.54800841923903e-16,2.97965564067849e-13,25.7169473650653,Up
SH2B3,0.794642006483409,9.44215280874531,8.05679797101439e-16,3.49958006413698e-13,25.5150493262454,Not
FSCN1,0.625726503458615,9.27803658958887,1.90535837138883e-15,7.91634982477896e-13,24.6769544441074,Not
A2M,0.753810861711168,9.15451453605246,3.63846170897388e-15,1.36849826433307e-12,24.0470817137765,Not
KDM5A,0.423053639048788,9.15402767272852,3.64774410721262e-15,1.36849826433307e-12,24.0446008194055,Not
FGL2,1.03211987501783,9.15010422018707,3.72341511852866e-15,1.36849826433307e-12,24.0246087316505,Up
RHOC,0.7900833243894,9.01296077256456,7.62716789848628e-15,2.69945246066425e-12,23.3264112382254,Not
ARC,-0.780096732287266,-8.97812296986644,9.14918559167759e-15,3.12248633978825e-12,23.1492566894699,Not
PELI2,-0.585235877090856,-8.97010492046358,9.54033316853532e-15,3.14370426753529e-12,23.1084963824906,Not
GMFG,0.897105293682444,8.94443082192567,1.09085276727663e-14,3.47472968136516e-12,22.9780124257567,Not
NR4A3,-0.599193480096777,-8.92920780287219,1.18104421463665e-14,3.57801219594599e-12,22.9006676504025,Not
APOH,-1.55770350201624,-8.92644986905125,1.19816230923265e-14,3.57801219594599e-12,22.8866570966137,Down
ACTA2,1.33863222190219,8.85307758078373,1.75663829438111e-14,5.08679864881997e-12,22.5141388111711,Up
SYT11,0.760433494365873,8.83311223298042,1.94923977916432e-14,5.47851039108655e-12,22.4128482215705,Not
ARHGDIB,0.632307165335686,8.81470006152046,2.1454600578365e-14,5.85771894648158e-12,22.3194669616037,Not
IFNAR2,0.310506729845468,8.78016775570758,2.56809750616228e-14,6.81687215802409e-12,22.1444071519151,Not
DCT,-0.4050276116862,-8.7707818769468,2.69667682055164e-14,6.96471451275445e-12,22.0968438452267,Not
HBB,2.75321016437609,8.69568690927411,3.98531558642566e-14,1.00220199326009e-11,21.7165827116546,Up
STK10,0.609851660900439,8.68866946385853,4.13335895361877e-14,1.01277892719951e-11,21.6810748166127,Not
SIRT1,-0.615641727217232,-8.58934573193843,6.9228545441361e-14,1.65386995059411e-11,21.1790141059547,Not
TRPV2,0.653213777423685,8.56560479573794,7.82996363213765e-14,1.82495445045628e-11,21.0591551690541,Not
GYG2,-0.516182717291517,-8.5574873005788,8.1665380740705e-14,1.85808185323376e-11,21.0181864421777,Not
