,logFC,t,P.Value,adj.P.Val,B,sig
CYP27B1,-2.20108754231118,-12.8871719158755,1.21087780831018e-23,1.1571148336212e-19,43.0242350128349,Down
FOSB,-2.47485622805348,-12.5324493435251,7.52351876851462e-23,3.32882470105841e-19,41.2531923383274,Down
LPAR6,1.1059525705629,12.4688474626609,1.04504752021507e-22,3.32882470105841e-19,40.9344438934533,Up
SLC19A2,-1.08746649965116,-12.367743677818,1.76312043545291e-22,4.212094720297e-19,40.4270344486397,Down
NR4A2,-1.20545390379835,-12.2006212389616,4.19256354961617e-22,8.01282745602642e-19,39.5864350179537,Down
HLX,1.38367786266863,12.0106154952313,1.1252152825955e-21,1.65869338244693e-18,38.6280580340243,Up
GBP2,1.07252886084548,10.1196575616766,2.28436933282449e-17,1.98449394040644e-14,28.9838954905297,Up
HCLS1,1.12555470533434,9.48165343724456,6.54800841923903e-16,2.97965564067849e-13,25.7169473650653,Up
FGL2,1.03211987501783,9.15010422018707,3.72341511852866e-15,1.36849826433307e-12,24.0246087316505,Up
APOH,-1.55770350201624,-8.92644986905125,1.19816230923265e-14,3.57801219594599e-12,22.8866570966137,Down
ACTA2,1.33863222190219,8.85307758078373,1.75663829438111e-14,5.08679864881997e-12,22.5141388111711,Up
HBB,2.75321016437609,8.69568690927411,3.98531558642566e-14,1.00220199326009e-11,21.7165827116546,Up
GK,-1.06699532408454,-8.53281959877247,9.28034800054284e-14,2.06239547658575e-11,20.8937319172713,Down
NETO2,1.25511636180429,8.1413996901119,6.9916854642583e-13,1.15194045338711e-10,18.9284217999058,Up
LY96,1.14697719512899,8.04006159461844,1.17557172469757e-12,1.7831370478111e-10,18.422876428506,Up
PLK2,1.08334943329143,7.94453655437766,1.91594090264166e-12,2.57869454445687e-10,17.9477213079854,Up
FCER1G,1.28329921722928,7.93805299190637,1.98042612068546e-12,2.6284655568431e-10,17.9155220511355,Up
CX3CR1,1.51392949045379,7.92125628081215,2.15769646844028e-12,2.72202010874071e-10,17.8321354923473,Up
TYROBP,1.70196422142594,7.92060717674074,2.1648548374246e-12,2.72202010874071e-10,17.8289139386168,Up
ALB,-2.43659789043344,-7.86910989345169,2.8148609950666e-12,3.4049128694755e-10,17.5735441879604,Down
PYCARD,1.19511779702683,7.81102072255227,3.78321601934594e-12,4.40883076595974e-10,17.2860069099448,Up
CD48,1.29211723563018,7.55400999915572,1.38990493582059e-11,1.36927129553624e-09,16.0209115776265,Up
ATF3,-1.43526000488362,-7.54951719960564,1.42173352193916e-11,1.38633525873985e-09,15.9989052757417,Down
IL10RA,1.3337768380351,7.54344394073204,1.46591147775307e-11,1.41497475569781e-09,15.9691639032224,Up
IFI30,1.21789978564325,7.51980772600856,1.65120071618639e-11,1.54694843567423e-09,15.8534833852671,Up
CD53,1.34727209526987,7.36926469097218,3.51502901604113e-11,2.94645765590254e-09,15.1193287594088,Up
FCN1,1.72761263290803,7.36288143128953,3.62909706448656e-11,2.98962513346841e-09,15.0883030948551,Up
HCK,1.35881507033285,7.31866518249965,4.52660097899863e-11,3.69711102182144e-09,14.8736302393214,Up
LAPTM5,1.25203809215359,7.31084691124163,4.70677859226587e-11,3.81169290065192e-09,14.835715878897,Up
ADAMTS1,1.06402240663296,7.0661932294271,1.58583600280851e-10,1.08244634591701e-08,13.6562556390653,Up
SLC22A8,-1.52945216809159,-7.00674280694561,2.12594654814315e-10,1.38200987850721e-08,13.3717897545408,Down
ITGB2,1.29530601632164,6.89600717699123,3.6615621970853e-10,2.0984574392629e-08,12.8442992284961,Up
HRG,-1.05694638566973,-6.89569014993063,3.66724981537155e-10,2.0984574392629e-08,12.8427936053213,Down
POSTN,1.30441631243345,6.80190650328174,5.79775076091484e-10,3.04466614760256e-08,12.3985678640852,Up
CD14,1.14217225197047,6.75805928421117,7.17663483914102e-10,3.59902326139245e-08,12.1916926361612,Up
CD52,1.3785735787697,6.68268739150768,1.03438194691091e-09,4.76925242023126e-08,11.8373323589491,Up
PTPRC,1.0550380552672,6.64657509748562,1.23170809714747e-09,5.39917549373452e-08,11.6681231897628,Up
PHLDA2,1.24141776132126,6.61386813441149,1.44227623501867e-09,6.09840340789308e-08,11.5151964192054,Up
CSF1R,1.00933827998548,6.58495972616389,1.65775360959321e-09,6.74106106096711e-08,11.3802919314225,Up
KNG1,-1.50286069348937,-6.45065840390401,3.15560206307923e-09,0.000000115095165323607,10.7568604474154,Down
NCF2,1.28695791989834,6.40751972173253,3.87603517363505e-09,0.000000134462032956718,10.5577929646178,Up
EGF,-1.33446481255093,-6.36291699647596,4.79143324128796e-09,0.000000157885986392234,10.3525919150973,Down
C1QA,1.65814492166237,6.29463149317788,6.62086498984121e-09,0.000000202532816756161,10.0396849137169,Up
