#group	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2
#condition	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN
#cluster	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
sample	GSM920368	GSM920369	GSM920370	GSM920371	GSM920372	GSM920373	GSM920374	GSM920375	GSM920376	GSM920377	GSM920378	GSM920379	GSM920380	GSM920381	GSM920382	GSM920383	GSM920384	GSM920385	GSM920350	GSM920351	GSM920352	GSM920353	GSM1046922	GSM1046923	GSM1046924	GSM1046925	GSM1046926	GSM920401	GSM920402	GSM920403	GSM920404	GSM920405	GSM920406	GSM920407	GSM920408	GSM920409	GSM920410	GSM920411	GSM920412	GSM920413	GSM920414	GSM920415	GSM920416	GSM920417	GSM920418	GSM920419	GSM920420	GSM920421	GSM920422	GSM920423	GSM920424	GSM920425	GSM920426	GSM920427	GSM2642335	GSM2642336	GSM2642337	GSM2642338	GSM2642339	GSM2642340	GSM2642341	GSM2642342	GSM2642343	GSM2642344	GSM2642345	GSM2642346	GSM2642347	GSM2642348	GSM2642349	GSM2642350	GSM2642351	GSM2642352	GSM2642353	GSM2642354	GSM2642355	GSM2642356	GSM2642357	GSM2642358	GSM2642359	GSM2642360	GSM2810679	GSM2810680	GSM2810681	GSM2810682	GSM2810683	GSM2810684	GSM2810685	GSM2810686	GSM2810687	GSM2810688	GSM2810689	GSM2810690	GSM2810691	GSM2810692	GSM2810693	GSM2810694	GSM2810695	GSM2810696	GSM2810697	GSM2810698	GSM2810699	GSM2810700	GSM2810701	GSM2810702	GSM2810703	GSM2810704	GSM2810705
B cells naive	0.088587928	0.059720931	0.09750257	0.094509342	0.099723984	0.064411427	0.15242198	0.087815352	0.05281873	0.065860744	0.0766083	0.116923641	0.11659182	0.0453765	0.039621065	0.111413038	0.180687414	0.095230988	0.022731416	0.044548424	0.068172109	0.052442326	0.069472789	0.059718471	0	0.089678891	0.078338964	0.049549932	0.05062292	0.022189615	0.055444364	0.07802876	0.022317525	0	0.058116432	0.017081666	0.04681781	0.076479138	0.037560492	0.018455528	0.057024983	0.06121223	0.010198543	0	0.009000511	0	0.011930394	0.02576286	0.057060034	0	0.043360541	0.076900934	0.024918976	0.028995064	0.07433029	0.024810165	0.021538107	0.094968845	0	0.043703027	0.095715084	0.01918949	0.036107521	0.041671576	0.053779971	0.030115311	0.049278544	0.091171722	0.017679734	0	0.056347834	0	0.051568324	0.038461228	0.013904342	0.05986465	0	0	0.016891901	0.051058305	0.070753334	0.039736546	0.056346924	0.03039267	0.047884277	0.080583522	0.017535489	0	0.05887438	0.016465178	0.058192973	0.017822857	0.039405777	0.009755312	0.064423344	0.06829031	0.007903205	0	0.018009795	0.047625172	0.028960329	0.086813692	0	0.042857367	0.047987568	0.035501143	0.032614557
B cells memory	0	0	0	0	0	0	0	0	0	0	0.006963352	0	0.003790055	0	0	0	0	0	0	0	0	0	0.006853652	0	0.151750481	0	0.007319717	0	0	0	0	0	0	0.031451841	0	0.033657286	0	0	0	0.081939124	0	0	0.026137078	0	0.045841738	0.048399438	0.008845584	0	0	0.117557431	0	0	0	0.002258549	0	0	0	0	0.109216912	0	0	0	0	0	0	0	0	0	0	0.043116462	0	0.038341628	0	0	0.090252215	0	0.040105556	0.01652275	0.041733053	0	0	0.000390694	0	0	0	0	0	0.040460651	0	0.027671572	0	0	0	0.092905217	0	0	0.031322	0.026724522	0.036887795	0	0	0	0.109420556	0	0.021413826	0	0
Plasma cells	0	0	0.071148912	0.10037452	0.050050755	0	0	0.023028752	0.027736758	0	0	0.036616519	0	0.011637125	0.045157059	0.032737297	0.102444453	0.03878749	0.024336505	0.004018309	0	0.054577768	0	0	0.028306818	0	0	0.000154643	0	0	0	0.072244521	0.107569628	0.028413043	0	0.035892959	0.147878954	0.000910406	0.001411034	0	0	0	0.023095239	0.02438279	0.002176491	0.029232827	0.051022997	0.008697892	0.006522004	0.079194432	0	0.019806345	0.014392618	0.000349196	0.001296612	0.052162121	0.014349439	0	0.091094086	0	0.008195612	0.013997281	0.012533583	0.003705173	0	0	0	0.060099418	0.108401186	0.03376059	0.052205097	0.038489723	0.114924084	0.001297656	0	0.01296077	0.028596408	0.011170737	0	0	0.003122344	0.004266757	0	0	0	0.090232999	0.110713211	0.032816859	0.05342135	0.032522069	0.124040108	0.040599876	0	0	0.011412253	0	0.022591912	0.015347013	0	0	0.015528316	0	0.082300838	0	0.022193077	0.010271369	0.017461933
T cells CD8	0.018242196	0.0773548	0.051551845	0	0.00608659	0.089424725	0.01589283	0	0.00674771	0.121688112	0.11266178	0	0.086805751	0.01095055	0	0	0	0.037854737	0	0	0.033214553	0.054364667	0.008945983	0.007582833	0	0.100755138	0	0.071122295	0.111589753	0.103200408	0.147150471	0.083617706	0.019308679	0.054861091	0.085528471	0	0.045689043	0.06812486	0	0.037868301	0.020277623	0.042890268	0	0.129321027	0.041617361	0	0	0.122925793	0.046240193	0	0.048293342	0.044994859	0.044433078	0.039618354	0.070215756	0	0.122417902	0.04109614	0	0.049829474	0.094388626	0.015023746	0.035275904	0.103327348	0.114170347	0.107272385	0.115100525	0.078003422	0.030945099	0	0.068975438	0	0.043270418	0	0.027294908	0.025485482	0	0.083335637	0.038010184	0.043938184	0.068928774	0.094481377	0.109356007	0.107390554	0.119517401	0.064957276	0.014542655	0.022526352	0.079473803	0	0.040038876	0	0	0.02867321	0.01801802	0.037475301	0	0.085585768	0.040323842	0.043741237	0.107972718	0.043887005	0	0.065068521	0.09063526	0.029448491	0.037303605
T cells CD4 naive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079537645	0	0.027397027	0	0	0	0	0	0	0.032454425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020125089	0	0	0	0	0	0	0	0	0	0	0.07786845	0	0.012742921	0	0	0	0	0.035427118	0	0	0	0	0	0	0	0	0	0	0.066458699	0	0	0	0	0	0	0	0	0.02592974	0	0	0	0	0	0.034680054	0	0	0	0
T cells CD4 memory resting	0.15460184	0.18174243	0.200311656	0.132427216	0.285354782	0.078094855	0.145731904	0.235031674	0.16360811	0.201292767	0.033292125	0.224351929	0.126655991	0.111929428	0.203795129	0.232436649	0.194701976	0.24048319	0.197137403	0	0.152277817	0.076514994	0.2473132	0.289063758	0.010889778	0.115500497	0.229103375	0.230175502	0.055991727	0	0.038751073	0.15711066	0.044155106	0	0.222481208	0	0.029013982	0.015276714	0.14346105	0.105303729	0.141896804	0.071112353	0	0	0.079136734	0.147828189	0.161544605	0.168431207	0.172683771	0.068142806	0.095828767	0.065076629	0.06280906	0.081554376	0.011968888	0.162988417	0.148857887	0.143229771	0.080594598	0.076926581	0	0.039831302	0.090801718	0.212387909	0.043069319	0	0.066698653	0.183627009	0.001157754	0.007543751	0.178760782	0	0.037680078	0.127226009	0.118341374	0.105132754	0	0	0.071503194	0.013498425	0.016233258	0.229329385	0.059847598	0	0.110396478	0.158371513	0.025826131	0	0.170731646	0	0.035070375	0.176252325	0.137298929	0.11111076	0.117054167	0.072841127	0	0	0.083095601	0.021354514	0.154733845	0.178814956	0.067066104	0.073912028	0.030624752	0.030320121	0.089232016
T cells CD4 memory activated	0	0	0	0.005474148	0.017933501	0	0	0.018684292	0.084616265	0.02073728	0	0.038767896	0.021464916	0	0.041779985	0	0.052431066	0.072540435	0	0	0	0	0	0	0	0	0	0.011842675	0.005464827	0.08548186	0	0	0	0.024678059	0	0	0	0.023211418	0	0	0	0.010476704	0	0	0	0	0	0	0.004467729	0	0	0	0	0	0.035268195	0	0	0.00225572	0	0	0	0	0	0.012248547	0.000147504	0.047281946	0	0	0	0.018764289	0	0	0	0	0	0	0.003151081	0	0	0.016794968	0.009842407	0.014869729	0.004476803	0.047590519	0	0	0	0.028882402	0.00102533	0	0	0	0	0	0	0.013117715	0.00297093	0	0.001827951	0.018423716	0	0.007271164	0	0	0	0	0
T cells follicular helper	0.066721277	0.034382085	0.02590296	0.027514179	0.057723931	0.054288479	0.094800075	0.037988047	0.043709889	0.038684307	0.037516487	0.06777808	0.080269325	0.050403288	0	0.122770585	0.098452333	0.047584316	0.072599367	0.062363206	0.087597069	0.014871451	0.041437795	0.023752977	0.060336259	0.055599389	0.054003332	0	0.009696889	0.002439827	0.016750791	0.084967207	0	0	0.054835201	0.067327885	0	0.040104643	0.041742343	0	0	0.013044334	0	0.037428636	0	0.067250824	0.060493512	0.036777743	0.068484304	0	0.02536999	0.015873352	0.012161777	0.020297934	0.048698915	0.04084069	0.023053714	0.04945177	0	0.020231612	0.035179415	0.033897863	0.009501359	0	0.000982105	0.005730743	0	0.020459994	0.004097213	0	0.010503276	0.091103814	0.005398856	0.053349751	0.011034141	0.000302772	0	0.023585479	0	0.010125501	0.053205119	0	0.010429678	0.001939272	0.005499744	0.094336553	0.002057171	0	0.005591644	0.070973871	0.003172817	0.032151179	0.058180846	0.000216188	0.000723006	0.00979257	0	0.011517745	0	0.011889431	0.028902372	0.023515636	0	0.016542731	0.022695824	0.009817205	0.020169456
T cells regulatory (Tregs)	0.005383503	0.070617504	0.037841371	0.025650866	0	0.024375912	0.055883977	0	0	0.002292563	0.029979709	0.006074604	0.007668303	0.040082443	0	0.016943477	0.036847252	0	0.03302884	0.031026826	0.047651964	0	0.02908646	0.02734969	0.016987049	0.076031224	0.066188948	0.077704639	0.068757899	0.003785047	0.032207555	0.02987664	0.028305083	0.023124188	0.033618125	0	0.045275084	0.071247963	0	0.015668873	0.059401911	0.027112792	0.021670604	0.006859424	0.074962123	0	0.011099277	0.056040917	0.014054217	0	0.051969944	0.077098592	0.064985783	0.066658169	0.054514426	0.013104576	0.076741642	0.040873936	0	0.060253203	0.060346954	0.063400005	0.083305809	0.075467298	0.084602138	0.007568725	0.062311505	0.035811135	0.031292827	0.024470595	0.083598547	0	0.036478167	0	0	0.055407076	0.017585588	0.026157857	0.079287111	0.059729567	0.054636032	0.084011091	0.076215178	0.008390413	0.02716278	0.026082013	0.024773857	0.024926217	0.071653824	0	0.039257658	0.013637502	0	0.003333797	0.042874635	0.032587289	0.017002105	0.030226981	0.076462678	0.051097094	0.070722923	0.070821999	0	0.063331603	0.070529044	0.081034379	0.062770695
T cells gamma delta	0	0	0	0	0	0	0	0	0.008174657	0	0	0	0	0.003878647	0.040551298	0	0	0	0	0.037402787	0	0	0	0	0.03268703	0	0	0	0	0	0	0	0.016794456	0.001776203	0	0.020004171	0	0	0	0	0	0	0.050475164	0.023849938	0	0	0	0.010460765	0	0	0	0	0	0	0	0	0.001059532	0	0	0	0	0.008610495	0	0	0	0	0	0	0.018677444	0	0.020373368	0.019610629	0	0	0	0	0.027460426	0.036798021	0	0	0	0	0	0	0	0	0.017646796	0.00135022	0.026376808	0.029500696	0	0	0	0	0	0	0.030277407	0.056894717	0	0	0.024203034	0	0	0	0	0.018929035	0
