outcome	KNG1	FN1	ALB	PLG	IGF1	EGF	HRG	TYROBP	CSF1R	ITGB2
NC	9.045274817	7.109222436	10.64117168	10.55455066	9.463720454	7.998885548	8.629754713	7.875099346	7.531847806	6.69727236
NC	8.174533845	7.33411084	7.343409189	10.32943445	9.58922291	7.257063573	7.818744683	6.902446382	7.416300357	6.502363358
NC	9.264127673	7.017633952	7.665901192	9.477453156	8.183161159	8.84043843	7.976360013	6.819212816	7.241209768	6.309381786
NC	7.665084389	7.253625109	8.673907256	10.4883249	8.445131842	7.459741214	7.918148669	7.408170427	7.566952611	6.814756398
NC	8.905959387	7.242728333	9.009554713	10.67183847	9.927964036	8.310377526	8.194042064	7.097787635	7.433794472	6.653658002
NC	10.38830992	7.199216678	10.24238179	9.798790076	9.498036975	10.20013297	8.726942258	7.674288459	7.725823741	6.574055705
NC	8.906719974	7.006824802	8.973885442	9.862672192	9.503278444	8.132085218	7.854839858	5.834801625	6.931432747	6.760234749
NC	9.662325061	7.350696397	9.173911227	10.52742616	8.724548504	8.565630294	8.054537287	7.04002603	7.225719999	6.451926813
NC	8.924763472	7.104789251	6.737099921	9.37208249	8.668921097	7.813938178	7.855419602	8.429480116	7.533466789	7.144911533
NC	9.613123876	7.188433513	9.237595076	10.69002089	9.356353838	9.324814754	8.36763151	7.569623696	7.267929999	6.583917646
NC	9.056597504	7.669284925	9.833361667	9.811719914	7.970775419	8.00284529	7.814019777	7.132175074	7.41883302	6.740025047
NC	8.500735891	6.924081037	6.830657724	9.614241372	6.759842486	7.977252408	6.969797751	6.73528231	7.403481089	6.40924833
NC	7.468195065	7.389314332	7.942471694	9.172699042	9.169350045	7.084077994	7.061112114	6.416490634	7.432738475	6.569821315
NC	9.956273083	7.730224148	8.775767345	9.192366667	7.846003429	9.101883909	8.359302562	8.412553865	7.894115684	7.353863789
NC	7.310128621	7.1726587	7.942735188	9.095852484	9.610742165	7.767034047	7.660879392	6.79228562	6.899093468	6.631919443
