rank	cmap name	mean	n	enrichment	p	specificity	percent non-null	
499	cantharidin	-0.814	1	-0.994	---	---	100	
1	verteporfin	-0.859	3	-0.99	0	0	100	
506	exemestane	-0.625	1	-0.909	---	---	100	
507	dimethyloxalylglycine	-0.622	1	-0.904	---	---	100	
5	moxonidine	-0.646	3	-0.896	0.00218	0.0053	100	
508	celastrol	-0.612	1	-0.895	---	---	100	
509	5213008	-0.578	1	-0.862	---	---	100	
2	procaine	-0.597	5	-0.848	0.00024	0	100	
511	MG-132	-0.553	1	-0.832	---	---	100	
512	dopamine	-0.551	1	-0.83	---	---	100	
6	prenylamine	-0.614	4	-0.814	0.00225	0.0551	100	
516	5140203	-0.527	1	-0.808	---	---	100	
517	5151277	-0.52	1	-0.801	---	---	100	
518	dexverapamil	-0.519	1	-0.8	---	---	100	
19	sulfadoxine	-0.561	3	-0.795	0.01757	0.0112	100	
20	cortisone	-0.532	3	-0.794	0.01785	0.0209	100	
12	ioversol	-0.617	4	-0.787	0.00412	0	100	
519	HNMPA-(AM)3	-0.5	1	-0.786	---	---	100	
520	5162773	-0.499	1	-0.785	---	---	100	
521	pararosaniline	-0.497	1	-0.782	---	---	100	
13	buspirone	-0.525	4	-0.778	0.00501	0	100	
86	Y-27632	-0.525	2	-0.77	0.10396	0.1585	100	
28	STOCK1N-35215	-0.553	3	-0.768	0.02552	0.0299	100	
94	butein	-0.515	2	-0.767	0.10698	0.078	100	
523	U0125	-0.466	1	-0.761	---	---	100	
108	blebbistatin	-0.493	2	-0.748	0.12547	0.1757	100	
528	sulindac sulfide	0	1	-0.726	---	---	0	
531	tyrphostin AG-1478	0	1	-0.707	---	---	0	
18	primidone	-0.251	4	-0.699	0.01725	0.0272	50	
536	Prestwick-691	0	3	-0.694	---	---	0	
22	emetine	-0.454	4	-0.687	0.02067	0.2647	75	
23	proxymetacaine	-0.461	4	-0.686	0.02109	0.0054	75	
539	atracurium besilate	-0.131	3	-0.686	---	---	33	
25	zoxazolamine	-0.457	4	-0.679	0.02371	0.0556	75	
29	bisacodyl	-0.526	4	-0.672	0.0258	0.0645	75	
186	5279552	-0.247	2	-0.672	0.21607	0.2679	50	
30	apigenin	-0.497	4	-0.666	0.02815	0.163	75	
31	bisoprolol	-0.38	4	-0.663	0.029	0.0166	75	
37	etidronic acid	-0.463	4	-0.657	0.03191	0.0482	75	
547	cephaeline	-0.099	5	-0.656	---	---	20	
221	arachidonyltrifluoromethane	-0.216	2	-0.643	0.25683	0.2876	50	
548	5666823	0	1	-0.642	---	---	0	
549	"1,5-isoquinolinediol"	0	1	-0.641	---	---	0	
38	isradipine	-0.44	4	-0.64	0.04008	0.0269	75	
40	semustine	-0.438	4	-0.635	0.04279	0.1333	75	
551	gefitinib	0	1	-0.635	---	---	0	
41	copper sulfate	-0.252	4	-0.634	0.04343	0.0294	50	
552	yohimbic acid	0	3	-0.632	---	---	0	
43	pipenzolate bromide	-0.472	4	-0.629	0.04673	0.0971	75	
553	W-13	0	2	-0.628	---	---	0	
95	alfaxalone	-0.392	3	-0.627	0.10766	0.1702	66	
44	atropine	-0.496	4	-0.626	0.04812	0.1436	75	
24	clotrimazole	-0.419	5	-0.615	0.02347	0.0758	80	
106	anabasine	-0.459	3	-0.615	0.12201	0.1611	66	
51	Prestwick-860	-0.467	4	-0.614	0.05616	0.1429	75	
557	isoniazid	-0.133	5	-0.613	---	---	20	
52	boldine	-0.268	4	-0.612	0.05737	0.0526	50	
559	tomelukast	0	1	-0.611	---	---	0	
114	cefalonium	-0.4	3	-0.608	0.13048	0.1957	66	
54	SC-58125	-0.258	4	-0.606	0.06211	0.0288	50	
58	strophanthidin	-0.327	4	-0.602	0.06533	0.0787	75	
59	sotalol	-0.508	4	-0.601	0.06618	0.08	75	
561	decitabine	0	1	-0.599	---	---	0	
62	meropenem	-0.448	4	-0.598	0.06803	0.1164	75	
9	CP-690334-01	-0.268	8	-0.597	0.00315	0.0476	50	
35	levodopa	-0.344	5	-0.596	0.03108	0.0505	80	
563	dimenhydrinate	-0.114	4	-0.596	---	---	25	
36	midecamycin	-0.387	5	-0.594	0.03174	0.0311	60	
130	ebselen	-0.457	3	-0.594	0.14981	0.2561	66	
70	anisomycin	-0.32	4	-0.591	0.07498	0.2966	50	
73	neostigmine bromide	-0.361	4	-0.588	0.07818	0.1207	50	
567	topiramate	0	1	-0.586	---	---	0	
75	trimethadione	-0.383	4	-0.585	0.08031	0.0774	75	
569	isocarboxazid	-0.178	5	-0.583	---	---	40	
570	5286656	0	1	-0.582	---	---	0	
147	corynanthine	-0.472	3	-0.581	0.1699	0.2826	66	
79	chloropyramine	-0.395	4	-0.58	0.08518	0.1118	75	
572	adiphenine	0	5	-0.58	---	---	0	
282	fasudil	-0.335	2	-0.575	0.36353	0.3051	50	
575	5186324	0	1	-0.574	---	---	0	
82	digoxin	-0.491	4	-0.573	0.09159	0.2245	75	
577	lidocaine	-0.231	5	-0.572	---	---	40	
84	pizotifen	-0.249	4	-0.57	0.09513	0.1035	50	
579	tioguanine	0	1	-0.568	---	---	0	
580	ajmaline	0	3	-0.567	---	---	0	
27	bromopride	-0.385	6	-0.566	0.02469	0.0235	83	
582	DL-PPMP	0	1	-0.565	---	---	0	
583	dicycloverine	-0.166	5	-0.565	---	---	40	
172	pipemidic acid	-0.404	3	-0.564	0.19774	0.2151	66	
584	aciclovir	-0.067	6	-0.564	---	---	16	
178	cobalt chloride	-0.269	3	-0.562	0.20325	0.1417	66	
585	oligomycin	0	1	-0.561	---	---	0	
89	butirosin	-0.45	4	-0.56	0.10486	0.0651	75	
90	cefuroxime	-0.33	4	-0.56	0.10563	0.1696	75	
586	chlortalidone	-0.154	4	-0.56	---	---	25	
587	bumetanide	-0.156	4	-0.56	---	---	25	
91	naringin	-0.329	4	-0.559	0.10603	0.1942	75	
92	repaglinide	-0.433	4	-0.559	0.10627	0.3971	75	
182	atovaquone	-0.433	3	-0.559	0.20782	0.3405	66	
183	tetryzoline	-0.379	3	-0.558	0.20898	0.1242	66	
96	ouabain	-0.481	4	-0.557	0.10818	0.193	75	
588	LM-1685	-0.151	3	-0.556	---	---	33	
589	esculetin	-0.153	3	-0.556	---	---	33	
99	cicloheximide	-0.473	4	-0.555	0.11039	0.3407	75	
590	maprotiline	0	4	-0.555	---	---	0	
101	fluorometholone	-0.438	4	-0.553	0.11277	0.1139	75	
102	tubocurarine chloride	-0.444	4	-0.552	0.11486	0.0964	75	
592	memantine	-0.156	4	-0.552	---	---	25	
193	terfenadine	-0.472	3	-0.549	0.22524	0.4404	66	
593	colistin	0	4	-0.549	---	---	0	
595	2-deoxy-D-glucose	0	1	-0.548	---	---	0	
103	ketoconazole	-0.449	4	-0.547	0.12129	0.0373	75	
104	diloxanide	-0.277	4	-0.547	0.12151	0.2214	50	
107	laudanosine	-0.37	4	-0.545	0.12346	0.071	50	
109	azlocillin	-0.425	4	-0.542	0.12678	0.1471	75	
598	chlormezanone	-0.14	4	-0.54	---	---	25	
113	etamivan	-0.321	4	-0.539	0.1301	0.275	50	
63	picotamide	-0.433	5	-0.538	0.06869	0.1	80	
115	nabumetone	-0.481	4	-0.538	0.13233	0.2089	75	
600	dirithromycin	-0.181	3	-0.538	---	---	33	
64	"2,6-dimethylpiperidine"	-0.326	5	-0.537	0.06965	0.0541	80	
116	droperidol	-0.285	4	-0.536	0.13374	0.1389	50	
117	flucytosine	-0.408	4	-0.536	0.13434	0.1792	75	
118	lomustine	-0.244	4	-0.536	0.13434	0.4085	50	
119	delsoline	-0.44	4	-0.535	0.13474	0.1921	75	
218	lisinopril	-0.397	3	-0.535	0.25381	0.3351	66	
121	oxprenolol	-0.424	4	-0.534	0.13655	0.3366	75	
123	cycloserine	-0.443	4	-0.533	0.1374	0.4121	75	
127	canrenoic acid	-0.262	4	-0.529	0.14345	0.1658	75	
128	glafenine	-0.341	4	-0.528	0.14438	0.2983	50	
324	DL-thiorphan	-0.323	2	-0.526	0.44797	0.8239	50	
76	yohimbine	-0.344	5	-0.524	0.08147	0.0919	60	
131	propafenone	-0.411	4	-0.523	0.15063	0.2531	75	
135	nialamide	-0.397	4	-0.52	0.15538	0.2537	75	
137	megestrol	-0.276	4	-0.518	0.15801	0.1633	50	
246	ticarcillin	-0.369	3	-0.517	0.29134	0.3044	66	
138	capsaicin	-0.399	4	-0.516	0.16137	0.235	75	
610	piroxicam	-0.126	4	-0.516	---	---	25	
252	BCB000039	-0.194	3	-0.514	0.29791	0.2422	66	
335	5182598	-0.283	2	-0.514	0.47171	0.7359	50	
611	bergenin	-0.109	4	-0.514	---	---	25	
141	tetramisole	-0.323	4	-0.512	0.16716	0.1193	50	
142	ginkgolide A	-0.444	4	-0.512	0.1674	0.535	75	
614	3-aminobenzamide	0	1	-0.512	---	---	0	
143	dextromethorphan	-0.452	4	-0.511	0.16883	0.3096	75	
144	Prestwick-920	-0.228	4	-0.51	0.16899	0.1751	50	
145	acepromazine	-0.45	4	-0.51	0.16965	0.3277	75	
146	convolamine	-0.312	4	-0.51	0.16965	0.1676	50	
616	sulfasalazine	-0.134	5	-0.509	---	---	20	
258	ursodeoxycholic acid	-0.375	3	-0.508	0.31087	0.5459	66	
154	fluorocurarine	-0.43	4	-0.504	0.17872	0.1571	75	
155	sulfabenzamide	-0.199	4	-0.504	0.17894	0.133	75	
620	alpha-yohimbine	0	3	-0.504	---	---	0	
621	selegiline	-0.14	4	-0.504	---	---	25	
622	4-hydroxyphenazone	-0.216	5	-0.504	---	---	40	
55	lanatoside C	-0.307	6	-0.503	0.06305	0.2234	50	
157	riboflavin	-0.409	4	-0.502	0.18232	0.4241	75	
158	dexpanthenol	-0.383	4	-0.502	0.1829	0.1429	75	
98	chlortetracycline	-0.202	5	-0.5	0.11014	0.1096	60	
160	cinchonidine	-0.226	4	-0.5	0.18574	0.1507	75	
100	baclofen	-0.246	5	-0.499	0.11146	0.1164	60	
351	piperlongumine	-0.445	2	-0.499	0.50147	0.5949	50	
354	"1,4-chrysenequinone"	-0.437	2	-0.499	0.50479	0.6172	50	
163	ricinine	-0.41	4	-0.497	0.19004	0.1566	75	
164	3-nitropropionic acid	-0.397	4	-0.497	0.1905	0.3481	75	
165	loracarbef	-0.274	4	-0.497	0.19073	0.2984	50	
169	securinine	-0.309	4	-0.496	0.19246	0.3418	50	
626	carbamazepine	-0.229	8	-0.495	---	---	37	
67	guaifenesin	-0.236	6	-0.494	0.07185	0.2062	50	
171	0198306-0000	-0.287	4	-0.493	0.19706	0.3352	75	
173	levamisole	-0.367	4	-0.492	0.19855	0.4381	75	
180	doxazosin	-0.331	4	-0.489	0.2049	0.5795	50	
632	disopyramide	0	4	-0.487	---	---	0	
634	mifepristone	0	4	-0.486	---	---	0	
635	atractyloside	-0.081	5	-0.486	---	---	20	
636	penbutolol	0	3	-0.485	---	---	0	
637	guanadrel	0	5	-0.484	---	---	0	
639	PHA-00816795	0	2	-0.484	---	---	0	
189	gramine	-0.251	4	-0.481	0.22083	0.2186	75	
294	0297417-0002B	-0.38	3	-0.48	0.38076	0.6148	66	
125	cefazolin	-0.203	5	-0.479	0.14138	0.0429	60	
296	articaine	-0.255	3	-0.479	0.38306	0.3189	66	
397	sanguinarine	-0.373	2	-0.479	0.57722	0.7938	50	
298	sulfaquinoxaline	-0.286	3	-0.477	0.38649	0.4877	66	
300	piperidolate	-0.4	3	-0.477	0.38749	0.6804	66	
196	androsterone	-0.256	4	-0.476	0.23141	0.109	50	
197	bezafibrate	-0.275	4	-0.476	0.23141	0.396	50	
129	epirizole	-0.37	5	-0.475	0.14771	0.1371	60	
201	amrinone	-0.208	4	-0.475	0.23372	0.3296	50	
203	estrone	-0.263	4	-0.474	0.23512	0.2529	50	
132	3-acetylcoumarin	-0.406	5	-0.473	0.15186	0.2086	60	
648	phthalylsulfathiazole	-0.263	5	-0.473	---	---	40	
204	chlorphenamine	-0.297	4	-0.472	0.23885	0.2406	50	
650	benzonatate	-0.234	5	-0.472	---	---	40	
652	alprenolol	-0.174	4	-0.471	---	---	25	
214	piperine	-0.12	4	-0.468	0.2483	0.2	50	
661	methylprednisolone	0	4	-0.467	---	---	0	
311	proscillaridin	-0.439	3	-0.466	0.41595	0.5273	66	
140	spironolactone	-0.291	5	-0.465	0.16529	0.268	60	
220	oxybutynin	-0.292	4	-0.464	0.25648	0.3292	50	
148	hesperetin	-0.368	5	-0.46	0.17387	0.2593	60	
151	diphemanil metilsulfate	-0.334	5	-0.46	0.17465	0.1818	60	
320	quinidine	-0.365	3	-0.46	0.43128	0.4277	66	
427	scopoletin	-0.35	2	-0.46	0.64822	0.8077	50	
