sample,ALB,CSF1R,EGF,FN1,HRG,IGF1,ITGB2,KNG1,PLG,TYROBP
GSM920368,10.64117168,7.531847806,7.998885548,7.109222436,8.629754713,9.463720454,6.69727236,9.045274817,10.55455066,7.875099346
GSM920369,7.343409189,7.416300357,7.257063573,7.33411084,7.818744683,9.58922291,6.502363358,8.174533845,10.32943445,6.902446382
GSM920370,7.665901192,7.241209768,8.84043843,7.017633952,7.976360013,8.183161159,6.309381786,9.264127673,9.477453156,6.819212816
GSM920371,8.673907256,7.566952611,7.459741214,7.253625109,7.918148669,8.445131842,6.814756398,7.665084389,10.4883249,7.408170427
GSM920372,9.009554713,7.433794472,8.310377526,7.242728333,8.194042064,9.927964036,6.653658002,8.905959387,10.67183847,7.097787635
GSM920373,10.24238179,7.725823741,10.20013297,7.199216678,8.726942258,9.498036975,6.574055705,10.38830992,9.798790076,7.674288459
GSM920374,8.973885442,6.931432747,8.132085218,7.006824802,7.854839858,9.503278444,6.760234749,8.906719974,9.862672192,5.834801625
GSM920375,9.173911227,7.225719999,8.565630294,7.350696397,8.054537287,8.724548504,6.451926813,9.662325061,10.52742616,7.04002603
GSM920376,6.737099921,7.533466789,7.813938178,7.104789251,7.855419602,8.668921097,7.144911533,8.924763472,9.37208249,8.429480116
GSM920377,9.237595076,7.267929999,9.324814754,7.188433513,8.36763151,9.356353838,6.583917646,9.613123876,10.69002089,7.569623696
GSM920378,9.833361667,7.41883302,8.00284529,7.669284925,7.814019777,7.970775419,6.740025047,9.056597504,9.811719914,7.132175074
GSM920379,6.830657724,7.403481089,7.977252408,6.924081037,6.969797751,6.759842486,6.40924833,8.500735891,9.614241372,6.73528231
GSM920380,7.942471694,7.432738475,7.084077994,7.389314332,7.061112114,9.169350045,6.569821315,7.468195065,9.172699042,6.416490634
GSM920381,8.775767345,7.894115684,9.101883909,7.730224148,8.359302562,7.846003429,7.353863789,9.956273083,9.192366667,8.412553865
GSM920382,7.942735188,6.899093468,7.767034047,7.1726587,7.660879392,9.610742165,6.631919443,7.310128621,9.095852484,6.79228562
GSM920383,9.282973618,7.2646292,7.920605198,7.055897415,8.227570277,8.73782724,6.567858055,8.349920146,10.00432118,6.214297808
GSM920384,9.729772191,6.889328146,8.366927424,7.474481622,7.970495976,8.659901503,6.302939249,9.023844677,10.24233169,6.61329634
GSM920385,10.67135596,7.187702869,8.159815875,7.353462007,7.892792594,8.527003012,6.741575326,9.042735783,10.21227358,6.793505101
GSM920350,5.535124544,7.894961578,6.395126944,7.82053819,6.670470077,9.25728517,6.784147731,7.282625078,7.629436905,7.410325331
GSM920351,8.297751592,8.383017991,7.345129404,8.094272802,6.544261148,7.93328083,9.133426201,8.227424453,7.886982801,10.22870676
GSM920352,8.225573398,8.138166393,7.567390762,7.837327225,7.945109831,8.574253329,7.004889627,8.199568578,8.816488654,7.568733754
GSM920353,9.86501258,9.08012502,6.936479665,7.692936029,7.703791299,9.034815023,8.375813663,7.805430279,11.97362905,9.772746964
GSM1046922,10.6442458,8.214531878,9.126658753,7.774168038,8.361135281,8.558440571,7.205458555,9.624600403,9.555328804,7.591233306
GSM1046923,10.53249753,8.358435463,8.409910842,8.193291452,8.792690782,9.501104289,7.197902001,9.413247265,11.27050516,7.713863559
GSM1046924,9.791198125,7.595200495,9.413207261,7.781278557,8.676090046,9.899971555,6.975222649,9.404408044,10.07523068,7.015585342
GSM1046925,9.721563783,8.100405675,8.289230009,7.526547821,9.274552034,9.396431244,7.131260731,9.34840539,10.46338302,7.254536615
GSM1046926,11.03823675,8.006716238,9.227209465,7.421232509,8.781171331,9.722737472,6.389317471,9.534008949,10.99834018,6.854472682
GSM920401,8.013219812,7.289734229,7.441433417,7.884053451,8.429764458,7.566239392,6.175430521,8.956490993,11.39915813,7.323397208
GSM920402,6.423919855,8.284229087,6.3797952,7.576240774,7.206739918,8.930081324,7.393245958,6.852847017,9.548420242,8.986576638
GSM920403,4.472666029,9.904385034,6.457129665,7.055505835,6.068074452,7.815025464,9.629655771,5.687347695,6.057491019,10.31096066
GSM920404,6.023732508,8.745750314,6.606172214,8.157287588,6.297331933,7.273420149,8.433949647,5.526604327,7.076704448,8.962490342
GSM920405,5.320562789,7.671063612,6.324069854,7.505280037,6.958302269,7.295975878,6.867452364,6.84570411,8.585239354,7.997788329
GSM920406,4.602668651,8.351476114,5.510481501,8.466102874,6.245024276,7.754811685,9.900670369,5.589196697,6.29755798,11.11605529
GSM920407,4.374549523,9.149493614,6.790655584,9.838454637,7.178142668,6.874977981,8.70948106,9.226267361,5.591451084,8.97201696
GSM920408,7.891578378,7.569837127,6.614812916,8.234226218,7.456851666,7.032688184,6.831983186,7.776137133,9.118250116,7.793799179
GSM920409,4.310794648,10.09279816,5.739763169,10.51153385,6.50542378,6.57413604,9.745587706,5.46428353,6.201920048,10.30864922
GSM920410,6.564969273,9.144871022,6.668576899,8.105716623,6.638458303,7.708904344,8.673320129,6.931242137,8.16105254,9.333399389
GSM920411,8.046514785,8.007137066,7.013108648,7.315642123,7.275981422,7.849603631,7.997739676,8.54601069,9.27107222,8.557681096
GSM920412,7.189075104,8.988470174,7.729742639,9.223612437,7.345362307,7.842006743,8.920976531,8.896910093,11.23659905,9.065643853
GSM920413,5.74691244,8.454588892,5.440712891,9.59452635,6.24400981,6.981805556,7.891539441,5.723429996,6.405090385,8.693189069
GSM920414,7.918718824,8.445765517,8.086268993,8.253676499,6.871186517,7.02041847,7.738186048,8.183188655,8.882052076,8.758347166
GSM920415,6.864616283,8.468652099,6.426271456,8.411090248,6.596409199,7.782740361,8.300809375,6.159222943,7.935346745,8.921441001
GSM920416,6.529385798,10.15865143,7.25537506,9.962154622,6.772121243,6.977000047,9.23625273,8.358529379,9.168164476,10.95300363
GSM920417,4.631564141,9.82120385,6.44569092,9.057296107,6.232657164,6.887551216,9.26367523,7.056141949,7.220598337,10.39828091
GSM920418,7.023653783,9.303330719,6.354674638,9.504229401,6.284389638,7.440818612,8.585433948,6.916009508,7.07835853,9.225675171
GSM920419,6.027878388,9.22665822,6.916050161,10.23017704,6.36011427,8.018612773,8.902312694,6.376551272,7.624405379,9.520912291
GSM920420,9.635671706,8.435812144,8.371773684,8.491139418,7.905903357,8.559295031,8.170402466,9.736180825,10.37930828,8.835787257
GSM920421,6.40180312,7.877390094,5.64234287,7.671605169,6.597297818,7.786409398,7.414120233,5.771157354,8.50741599,8.002596198
GSM920422,8.518634784,7.820352144,9.092318528,8.280800466,8.485376378,8.550633289,6.940000825,9.738535518,10.86365271,7.74682242
GSM920423,5.980819635,8.050188972,6.891961933,7.549649195,6.886514687,9.337741101,7.545561816,7.371836923,9.059918162,8.665940313
GSM920424,7.134650649,8.725818122,6.727924044,8.130272004,7.95165758,8.805453876,7.7884696,7.161307913,10.46568554,9.059540676
GSM920425,5.864936112,7.921790762,9.455278358,6.6882489,7.418024084,10.58280277,7.31303713,9.940717891,9.157986475,8.452740881
GSM920426,8.605716465,8.759872169,6.561897996,8.431351111,7.160056618,9.340071968,7.862200202,7.116168502,9.983392609,9.222921878
GSM920427,6.716801894,8.664910943,6.184672794,10.78505411,6.512394664,6.507147691,8.780629885,7.360056784,8.353174176,9.892445297
GSM2642335,8.072593726,8.035338245,6.978858126,7.525114808,7.161967838,7.847352047,8.021964268,7.503540627,9.422231235,8.523882027
GSM2642336,9.715860975,8.437074492,8.345110977,8.483706293,8.199164522,8.426837573,8.178707009,9.456281841,10.12049523,8.822826273
GSM2642337,6.396129465,7.91537993,5.587186868,7.790644214,6.505494573,7.775344393,7.473535112,6.424249585,8.229740928,7.947271763
GSM2642338,8.561201919,7.866104982,9.07735656,8.320002709,9.012935881,8.504735059,7.028239435,9.29911746,10.54511104,7.675839599
GSM2642339,5.958605812,8.078022186,6.857694214,7.73020518,6.843082597,9.222922339,7.59764745,6.891669457,8.925884799,8.637924511
GSM2642340,7.142411788,8.723071063,6.689774668,8.197321559,7.889929645,8.728285558,7.830498124,7.157479093,10.25320437,9.062644367
GSM2642341,5.840254385,7.949637574,9.479860204,6.971794122,7.400516584,10.49566892,7.379331624,9.288474302,9.134554117,8.409226267
GSM2642342,8.649835404,8.748623436,6.512064089,8.466940855,7.023245328,9.289629273,7.888126207,6.797109667,9.8084236,9.224603294
GSM2642343,6.722897302,8.662865652,6.140020448,10.45870412,6.443145227,6.54774634,8.748805454,6.945245369,8.354073491,9.943599303
GSM2642344,8.046631917,7.35459183,7.426874914,7.97089836,8.51685268,7.53248156,6.331158375,7.983414839,11.04037556,7.238130861
GSM2642345,6.405987766,8.305850727,6.328107486,7.769889576,7.161013262,8.858706381,7.459295542,6.850497954,9.401952653,8.980766329
GSM2642346,4.372057866,9.817884542,6.406957384,7.296417256,6.028419666,7.770173303,9.51995464,6.017644305,5.941177779,10.36003655
GSM2642347,5.995524042,8.739394268,6.559258511,8.212604671,6.262650831,7.264584694,8.421022866,6.542940324,7.218686619,8.952551114
GSM2642348,5.271514971,7.713710035,6.267481875,7.698048674,6.78112673,7.321091913,6.965070545,6.743396063,8.533193186,7.945492588
GSM2642349,4.517162874,8.372039775,5.445902475,8.509168457,6.039365781,7.756103933,9.790385968,5.858069554,6.522355306,11.2317755
GSM2642350,4.242679062,9.108296291,6.754119911,9.611303686,7.101096123,6.96870054,8.675701324,8.203993321,5.873028927,8.967796541
GSM2642351,7.912396608,7.623696268,6.577009308,8.275086575,7.302176299,7.019434723,6.926516125,7.646451588,9.017144241,7.723626873
GSM2642352,4.170397991,10.00916655,5.701992822,10.16565515,6.280964889,6.633173929,9.644886592,6.131252535,6.260049724,10.38441823
GSM2642353,6.547718449,9.104869539,6.621622487,8.153425822,6.540370455,7.663365713,8.638236828,7.127943344,8.188667088,9.342235581
GSM2642354,7.195817585,8.962143087,7.692635403,9.111223203,7.240792227,7.803017232,8.869521009,8.109645366,10.89804576,9.060279995
GSM2642355,5.71894986,8.452884783,5.361228552,9.40658182,6.121907428,6.981735435,7.916700878,6.432789533,6.623241246,8.667244972
GSM2642356,7.938869746,8.448401448,8.057078597,8.29356167,6.821171347,7.094420022,7.775055317,7.437039799,8.802569079,8.752669006
